StationName,Balance_0,Balance_1,Balance_2,Balance_3,Balance_4,Balance_5,Balance_6,Balance_7,Balance_8,Balance_9,Balance_10,Balance_11,Balance_12,Balance_13,Balance_14,Balance_15,Balance_16,Balance_17,Balance_18,Balance_19,Balance_20,Balance_21,Balance_22,Balance_23,Total_0,Total_1,Total_2,Total_3,Total_4,Total_5,Total_6,Total_7,Total_8,Total_9,Total_10,Total_11,Total_12,Total_13,Total_14,Total_15,Total_16,Total_17,Total_18,Total_19,Total_20,Total_21,Total_22,Total_23
9 Ave & W 22 St,5,-9,14,0,-1,9,-2,-1,-3,3,11,-1,-1,-5,4,-7,1,4,-2,7,-10,-3,-12,1,27,43,40,32,29,31,34,35,31,23,41,41,31,27,36,43,25,19,32,45,30,37,24,37
W 15 St & 7 Ave,2,1,2,4,0,-12,0,4,7,8,1,0,-2,-10,2,0,0,11,9,-11,3,7,3,10,26,31,35,24,30,34,22,29,28,37,21,23,26,30,30,22,28,23,31,29,19,31,24,28
E 20 St & 2 Ave,2,1,-5,9,3,8,-3,-5,2,-1,-12,7,-3,-11,3,3,2,2,2,4,6,1,0,-2,26,35,33,33,27,40,33,43,46,41,30,41,41,45,35,31,34,44,36,36,37,39,38,50
W 26 St & 8 Ave,2,5,-4,-6,0,0,4,6,-6,3,-15,4,-12,-9,4,0,-11,5,6,1,-3,-2,3,3,32,41,36,34,29,37,30,39,25,33,39,38,32,39,38,36,35,41,30,43,33,46,43,39
W 67 St & Broadway,0,-3,5,-4,4,7,1,-2,2,2,0,4,1,-2,-2,0,-2,0,1,1,0,-5,1,4,16,11,17,16,14,15,17,16,14,18,18,17,17,27,14,20,23,16,15,21,4,20,19,16
E 72 St & York Ave,-5,-3,-6,6,-10,8,6,1,3,-10,3,-2,-7,2,2,-6,5,0,-2,0,-4,0,-2,-10,19,27,19,23,28,24,26,21,27,19,21,23,30,20,18,24,23,22,25,30,20,24,28,18
E 43 St & Vanderbilt Ave,9,10,-9,5,5,-3,15,4,10,-4,1,-11,0,5,-4,-4,-7,-9,-8,-2,-1,2,3,5,55,64,55,57,79,50,45,62,44,46,59,61,70,81,54,52,65,63,68,55,45,64,49,73
W 38 St & 8 Ave,-12,-9,-5,-1,-9,7,-8,10,-7,22,-8,-2,-1,14,4,-5,7,3,-3,-6,4,9,-10,1,38,35,49,41,39,51,38,50,55,58,52,54,43,38,46,38,51,47,48,52,45,31,62,51
W 31 St & 7 Ave,-4,-2,7,17,6,7,-1,-13,-6,3,-1,1,7,-6,-1,-3,-1,-8,9,-3,6,14,-9,1,44,64,57,47,48,55,47,53,56,37,46,43,53,51,44,45,39,48,41,43,54,46,51,51
Bank St & Hudson St,-2,7,0,4,-2,8,6,2,5,-6,-3,1,-10,-1,10,-1,-4,-3,5,1,-5,-3,-10,-7,31,31,20,26,18,24,18,26,27,16,21,19,20,17,20,25,16,17,23,29,17,15,18,25
W 45 St & 8 Ave,-2,-3,-10,-7,6,0,4,6,-3,-6,1,-4,-2,1,-6,-11,1,-3,-5,5,0,-1,6,-5,32,21,30,25,27,28,38,19,31,34,13,20,32,25,28,37,27,27,21,24,22,25,30,34
Elizabeth St & Hester St,2,-10,6,3,1,-3,-10,5,0,9,-2,-5,-1,-8,2,3,-4,2,1,-1,-3,-2,-1,1,14,20,12,20,9,27,30,27,20,21,20,15,17,16,20,21,18,20,17,14,29,14,23,23
E 25 St & 1 Ave,-4,-1,-6,2,2,0,-3,-4,-2,0,-4,-2,9,4,-9,-4,-2,-1,-1,2,-4,7,2,-4,20,31,23,24,22,22,21,32,22,24,14,21,33,24,23,16,30,17,23,22,14,21,26,20
E 39 St & 2 Ave,-5,-2,-4,-4,-2,-1,9,-2,7,3,3,3,5,-6,3,9,1,1,-3,-2,2,11,2,-4,29,30,29,38,32,41,47,26,47,41,48,41,39,40,49,39,43,51,29,42,52,51,32,44
E 16 St & Irving Pl,10,6,6,6,7,-2,3,-2,-6,6,-2,-6,-16,3,3,-1,1,6,3,15,2,-3,-9,-9,27,25,28,34,33,44,41,28,40,38,24,20,34,27,23,31,39,38,37,37,19,37,34,30
Perry St & Bleecker St,1,0,3,-1,-2,3,7,0,0,4,2,0,-4,2,-1,2,3,5,-4,5,-1,3,-2,2,9,16,13,15,18,13,23,13,14,12,16,10,22,11,17,12,13,23,23,17,7,15,10,10
